"outcome","idea","user.submitted","ffvar","experts","mturkers"
"eviction","Child's birth weight",FALSE,"cm1lbw",15.2542,NA
"eviction","Child's exposure to someone smoking",TRUE,"hv4a24",NA,42.8571
"eviction","Child's exposure to someone smoking",TRUE,"p5h15c",NA,42.8571
"eviction","Child's exposure to someone smoking",TRUE,"p5q3cr",NA,42.8571
"eviction","Child's gender",FALSE,"cm1bsex",6.34921,16.6667
"eviction","Child's gender",FALSE,"hv4sex_child",6.34921,16.6667
"eviction","Child's learning disability",TRUE,"kind_a13",NA,8.33333
"eviction","Child's physical disability",TRUE,"hv3a2",NA,14.2857
"eviction","Child's race",FALSE,"f1h3",62.7451,29.8305
"eviction","Child's race",FALSE,"m1h3",62.7451,29.8305
"eviction","Divorce or separation",FALSE,"m2a8c",71.875,73.3788
"eviction","Domestic violence",TRUE,"f3a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7m",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7n",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7n1",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d7o",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9h",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9i",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9m",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9n",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9n1",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9o",73.4694,NA
"eviction","Domestic violence",TRUE,"f3d9p",73.4694,NA
"eviction","Domestic violence",TRUE,"f4a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"f5b26x_10",73.4694,NA
"eviction","Domestic violence",TRUE,"f5f26b2_10",73.4694,NA
"eviction","Domestic violence",TRUE,"f5f28a_10",73.4694,NA
"eviction","Domestic violence",TRUE,"m3a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7m",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7n",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7n1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7o",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7p",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d7p1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9i",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9m",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9n",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9n1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9o",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9p",73.4694,NA
"eviction","Domestic violence",TRUE,"m3d9p1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23o",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23p",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23p1",73.4694,NA
"eviction","Domestic violence",TRUE,"m3e23q",73.4694,NA
"eviction","Domestic violence",TRUE,"m4a8b_7",73.4694,NA
"eviction","Domestic violence",TRUE,"m5b30a1_10",73.4694,NA
"eviction","Domestic violence",TRUE,"m5f26b2_10",73.4694,NA
"eviction","Domestic violence",TRUE,"m5f28a_10",73.4694,NA
"eviction","Existing number of siblings",FALSE,"cf1kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf2kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf3kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf4kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cf5kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm1kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm2kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm3kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm4kids",36.5079,46.5649
"eviction","Existing number of siblings",FALSE,"cm5kids",36.5079,46.5649
"eviction","Father's age at childbirth",FALSE,"cf1age",37.2881,42.2481
"eviction","Father's education",FALSE,"cf5edu",52,47.0383
"eviction","Father's incarceration",FALSE,"f3i29",85.1852,79.6364
"eviction","Father's multiple-job holding",FALSE,"f2k19a",47.7273,45.1505
"eviction","Father's multiple-job holding",FALSE,"f3k18",47.7273,45.1505
"eviction","Father's non-standard work hours",FALSE,"f2k18a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f3k17a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f4k16a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f5i16a",37.7358,56.2069
"eviction","Father's non-standard work hours",FALSE,"f5k17l",37.7358,56.2069
"eviction","Father absent at time of birth",FALSE,"m1a6",68.3333,60.7914
"eviction","Foreign-born father",FALSE,"f3h1a",21.7391,27.881
"eviction","Foreign-born father",FALSE,"f3h1b",21.7391,27.881
"eviction","Foreign-born mother",FALSE,"m3h1a",22.5,31.8182
"eviction","Foreign-born mother",FALSE,"m3h1b",22.5,31.8182
"eviction","Grandparents are present in household",TRUE,"cm3gdad",NA,26.6667
"eviction","Grandparents are present in household",TRUE,"cm3gmom",NA,26.6667
"eviction","Household income",FALSE,"cf1hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf2hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf2hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cf3hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf3hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cf4hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf4hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cf5hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cf5hhincb",83.871,67.7903
"eviction","Household income",FALSE,"cm1hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm2hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm3hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm4hhinc",83.871,67.7903
"eviction","Household income",FALSE,"cm5hhinc",83.871,67.7903
"eviction","Household size",FALSE,"cf1adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf1kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf2adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf2kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf3adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf3kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf4adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf4kids",37.2549,48.6755
"eviction","Household size",FALSE,"cf5adult",37.2549,48.6755
"eviction","Household size",FALSE,"cf5kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm1adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm1kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm2adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm2kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm3adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm3kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm4adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm4kids",37.2549,48.6755
"eviction","Household size",FALSE,"cm5adult",37.2549,48.6755
"eviction","Household size",FALSE,"cm5kids",37.2549,48.6755
"eviction","Income to poverty ratio",FALSE,"cf1inpov",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf2povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf2povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf3povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf3povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf4povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf4povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf5povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cf5povcob",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm1inpov",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm2povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm3povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm4povco",90.1961,71.2281
"eviction","Income to poverty ratio",FALSE,"cm5povco",90.1961,71.2281
"eviction","Mother's age at childbirth",FALSE,"cm1age",63.1579,51.25
"eviction","Mother's age at childbirth",FALSE,"cm2fbir",63.1579,51.25
"eviction","Mother's education",FALSE,"cm5edu",55.814,39.7306
"eviction","Mother's incarceration",FALSE,"m3i29",76.7857,78.022
"eviction","Mother's multiple-job holding",FALSE,"m2k14a",52.6316,50.3571
"eviction","Mother's multiple-job holding",FALSE,"m3k17",52.6316,50.3571
"eviction","Mother's multiple-job holding",FALSE,"m3k18",52.6316,50.3571
"eviction","Mother's non-standard work hours",FALSE,"m2k13a",68.2927,51.145
"eviction","Mother's non-standard work hours",FALSE,"m3k16a",68.2927,51.145
"eviction","Mother's non-standard work hours",FALSE,"m4k16a",68.2927,51.145
"eviction","Mother's non-standard work hours",FALSE,"m5i16a",68.2927,51.145
"eviction","Mother's non-standard work hours",FALSE,"m5k17l",68.2927,51.145
"eviction","Mother's prenatal smoking",FALSE,"m1g4",30.5085,47.651
"eviction","Mother has chronic illness",TRUE,"m5g2a_107",NA,62.5
"eviction","Never-married mother",FALSE,"cm5relf",55.2239,47.2973
"eviction","Number of parental romantic relationships",FALSE,"f3a13",40.7407,50.8834
"eviction","Number of parental romantic relationships",FALSE,"f5a10",40.7407,50.8834
"eviction","Number of parental romantic relationships",FALSE,"f5a101",40.7407,50.8834
"eviction","Number of parental romantic relationships",FALSE,"m3a13",40.7407,50.8834
"eviction","Number of parental romantic relationships",FALSE,"m5a10",40.7407,50.8834
"eviction","Number of parental romantic relationships",FALSE,"m5a101",40.7407,50.8834
"eviction","Number of times father has missed work",TRUE,"f2b30a",NA,58.0357
"eviction","Number of times father has missed work",TRUE,"f3b22",NA,58.0357
"eviction","Parents' substance abuse",TRUE,"cf3alc_case",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"cf3drug_case",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"cm3alc_case",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"cm3drug_case",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"f4j21",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"f5g20",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"m4j21",NA,75.7353
"eviction","Parents' substance abuse",TRUE,"m5g20",NA,75.7353
"eviction","Parents are in cohabiting partnership",FALSE,"cf2cohm",30.9524,35.2349
"eviction","School quality",FALSE,"f5k5d",22.807,46.6667
"eviction","School quality",FALSE,"f5k5e",22.807,46.6667
"eviction","School quality",FALSE,"m4i0",22.807,46.6667
"eviction","School quality",FALSE,"m4i0b",22.807,46.6667
"eviction","School quality",FALSE,"p5l13f",22.807,46.6667
"eviction","School quality",FALSE,"p5l1a",22.807,46.6667
"eviction","School quality",FALSE,"t5c7f",22.807,46.6667
"eviction","School quality",FALSE,"t5g4_104",22.807,46.6667
"gpa","Amount of parental involvement in school",TRUE,"f4i0d",NA,66.1538
"gpa","Amount of parental involvement in school",TRUE,"m4i0",NA,66.1538
"gpa","Amount of parental involvement in school",TRUE,"m4i0d",NA,66.1538
"gpa","Availability of extended family",TRUE,"cf1gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf1gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf2gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf2gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf3gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf3gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf4gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf4gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf5gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cf5gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm1gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm1gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm2gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm2gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm3gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm3gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm4gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm4gmom",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm5gdad",NA,61.3636
"gpa","Availability of extended family",TRUE,"cm5gmom",NA,61.3636
"gpa","Child's birth weight",FALSE,"cm1lbw",48.1481,30.4762
"gpa","Child's gender",FALSE,"cm1bsex",20.6897,33.5593
"gpa","Child's gender",FALSE,"hv4sex_child",20.6897,33.5593
"gpa","Child's IQ",TRUE,"hv5_ppvtpr",NA,69.7674
"gpa","Child's perseverance",TRUE,"k5g1a",NA,67.7419
"gpa","Child's perseverance",TRUE,"k5g1b",NA,67.7419
"gpa","Child's perseverance",TRUE,"k5g1d",NA,67.7419
"gpa","Child's perseverance",TRUE,"k5g1e",NA,67.7419
"gpa","Child's race",FALSE,"f1h3",40,36.2117
"gpa","Child's race",FALSE,"m1h3",40,36.2117
"gpa","Divorce or separation",FALSE,"m2a8c",64.7059,57.6687
"gpa","English language proficiency",TRUE,NA,66.6667,NA
"gpa","Existing number of siblings",FALSE,"cf1kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cf2kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cf3kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cf4kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cf5kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cm1kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cm2kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cm3kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cm4kids",39.2857,44.2455
"gpa","Existing number of siblings",FALSE,"cm5kids",39.2857,44.2455
"gpa","Family on welfare",TRUE,"f1k2a",NA,51.4286
"gpa","Family on welfare",TRUE,"f2h8c1",NA,51.4286
"gpa","Family on welfare",TRUE,"f3i8c1",NA,51.4286
"gpa","Family on welfare",TRUE,"f4i8c1",NA,51.4286
"gpa","Family on welfare",TRUE,"f5f8c1",NA,51.4286
"gpa","Family on welfare",TRUE,"m1j2b",NA,51.4286
"gpa","Family on welfare",TRUE,"m2h9b1",NA,51.4286
"gpa","Family on welfare",TRUE,"m2h9c1",NA,51.4286
"gpa","Family on welfare",TRUE,"m3i8b1",NA,51.4286
"gpa","Family on welfare",TRUE,"m3i8c1",NA,51.4286
"gpa","Family on welfare",TRUE,"m4i8b1",NA,51.4286
"gpa","Family on welfare",TRUE,"m4i8c1",NA,51.4286
"gpa","Family on welfare",TRUE,"m5f8b1",NA,51.4286
"gpa","Family on welfare",TRUE,"m5f8c1",NA,51.4286
"gpa","Father's age at childbirth",FALSE,"cf1age",38.7097,30.6748
"gpa","Father's education",FALSE,"cf5edu",56.25,59.9388
"gpa","Father's incarceration",FALSE,"f3i29",71.4286,60.423
"gpa","Father's multiple-job holding",FALSE,"f2k19a",28,42.2857
"gpa","Father's multiple-job holding",FALSE,"f3k18",28,42.2857
"gpa","Father's non-standard work hours",FALSE,"f2k18a",29.6296,48.2249
"gpa","Father's non-standard work hours",FALSE,"f3k17a",29.6296,48.2249
"gpa","Father's non-standard work hours",FALSE,"f4k16a",29.6296,48.2249
"gpa","Father's non-standard work hours",FALSE,"f5i16a",29.6296,48.2249
"gpa","Father's non-standard work hours",FALSE,"f5k17l",29.6296,48.2249
"gpa","Father's substance abuse",TRUE,"cf3alc_case",NA,55.5556
"gpa","Father's substance abuse",TRUE,"cf3drug_case",NA,55.5556
"gpa","Father absent at time of birth",FALSE,"m1a6",58.8235,42.3529
"gpa","Foreign-born father",FALSE,"f3h1a",30.7692,33.0484
"gpa","Foreign-born father",FALSE,"f3h1b",30.7692,33.0484
"gpa","Foreign-born mother",FALSE,"m3h1a",39.2857,38.2445
"gpa","Foreign-born mother",FALSE,"m3h1b",39.2857,38.2445
"gpa","Homeschooling",TRUE,"p5l1a",NA,45
"gpa","Household income",FALSE,"cf1hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cf2hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cf2hhincb",74.359,56.5476
"gpa","Household income",FALSE,"cf3hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cf3hhincb",74.359,56.5476
"gpa","Household income",FALSE,"cf4hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cf4hhincb",74.359,56.5476
"gpa","Household income",FALSE,"cf5hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cf5hhincb",74.359,56.5476
"gpa","Household income",FALSE,"cm1hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cm2hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cm3hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cm4hhinc",74.359,56.5476
"gpa","Household income",FALSE,"cm5hhinc",74.359,56.5476
"gpa","Household size",FALSE,"cf1adult",44,46.7647
"gpa","Household size",FALSE,"cf1kids",44,46.7647
"gpa","Household size",FALSE,"cf2adult",44,46.7647
"gpa","Household size",FALSE,"cf2kids",44,46.7647
"gpa","Household size",FALSE,"cf3adult",44,46.7647
"gpa","Household size",FALSE,"cf3kids",44,46.7647
"gpa","Household size",FALSE,"cf4adult",44,46.7647
"gpa","Household size",FALSE,"cf4kids",44,46.7647
"gpa","Household size",FALSE,"cf5adult",44,46.7647
"gpa","Household size",FALSE,"cf5kids",44,46.7647
"gpa","Household size",FALSE,"cm1adult",44,46.7647
"gpa","Household size",FALSE,"cm1kids",44,46.7647
"gpa","Household size",FALSE,"cm2adult",44,46.7647
"gpa","Household size",FALSE,"cm2kids",44,46.7647
"gpa","Household size",FALSE,"cm3adult",44,46.7647
"gpa","Household size",FALSE,"cm3kids",44,46.7647
"gpa","Household size",FALSE,"cm4adult",44,46.7647
"gpa","Household size",FALSE,"cm4kids",44,46.7647
"gpa","Household size",FALSE,"cm5adult",44,46.7647
"gpa","Household size",FALSE,"cm5kids",44,46.7647
"gpa","Income to poverty ratio",FALSE,"cf1inpov",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf2povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf2povcob",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf3povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf3povcob",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf4povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf4povcob",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf5povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cf5povcob",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cm1inpov",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cm2povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cm3povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cm4povco",80.7692,70.1705
"gpa","Income to poverty ratio",FALSE,"cm5povco",80.7692,70.1705
"gpa","Language spoken at home",TRUE,NA,40,NA
"gpa","Mother's age at childbirth",FALSE,"cm1age",72.4138,41.5473
"gpa","Mother's age at childbirth",FALSE,"cm2fbir",72.4138,41.5473
"gpa","Mother's education",FALSE,"cm5edu",82.1429,63.5514
"gpa","Mother's employment",TRUE,"m2k12",NA,42.8571
"gpa","Mother's employment",TRUE,"m2k8",NA,42.8571
"gpa","Mother's employment",TRUE,"m3k15",NA,42.8571
"gpa","Mother's employment",TRUE,"m4k15",NA,42.8571
"gpa","Mother's incarceration",FALSE,"m3i29",85,61.5142
"gpa","Mother's multiple-job holding",FALSE,"m2k14a",19.3548,50.9537
"gpa","Mother's multiple-job holding",FALSE,"m3k17",19.3548,50.9537
"gpa","Mother's multiple-job holding",FALSE,"m3k18",19.3548,50.9537
"gpa","Mother's non-standard work hours",FALSE,"m2k13a",42.1053,49.5822
"gpa","Mother's non-standard work hours",FALSE,"m3k16a",42.1053,49.5822
"gpa","Mother's non-standard work hours",FALSE,"m4k16a",42.1053,49.5822
"gpa","Mother's non-standard work hours",FALSE,"m5i16a",42.1053,49.5822
"gpa","Mother's non-standard work hours",FALSE,"m5k17l",42.1053,49.5822
"gpa","Mother's prenatal smoking",FALSE,"m1g4",62.963,43.5331
"gpa","Mother's substance abuse",TRUE,"cm3alc_case",NA,76
"gpa","Mother's substance abuse",TRUE,"cm3drug_case",NA,76
"gpa","Neighborhood crime",TRUE,"t5f4a",60,NA
"gpa","Never-married mother",FALSE,"cm5relf",55.5556,37.2168
"gpa","Number of books at home",TRUE,"f4b27",NA,75.6757
